paper_id,title,year,journal,body_chars,references,figures,tables,equations,quality_score,needs_review,output
001-A-heat-flux-distribution-prediction-method-for-hyperson_2025_Aerospace-Scien,A heat flux distribution prediction method for hypersonic flight vehicle along trajectory based on POD and TSCN,2025,Aerospace Scien,47330,37,13,7,156,1.0,False,801\深度拆解_校验版_20260527\papers\001-A-heat-flux-distribution-prediction-method-for-hyperson_2025_Aerospace-Scien.md
002-A-kernel-ridge-regression-combining-nonlinear-ROMs-for-_2025_Aerospace-Scien,A kernel ridge regression combining nonlinear ROMs for accurate flow-field reconstruction with discontinuities,2025,Aerospace Scien,49354,36,56,3,147,1.0,False,801\深度拆解_校验版_20260527\papers\002-A-kernel-ridge-regression-combining-nonlinear-ROMs-for-_2025_Aerospace-Scien.md
003-A-mesomechanical-model-for-predicting-the-degradation-in-stiff_2016_Material,A mesomechanical model for predicting the degradation in stiffness of FRP composites subjected to combined thermal and mechanical loading,2016,Material,28620,36,11,2,50,1.0,False,801\深度拆解_校验版_20260527\papers\003-A-mesomechanical-model-for-predicting-the-degradation-in-stiff_2016_Material.md
004-A-multi-scale-uncertainty-quantification-model-encompassing-m_2025_Composite,A multi-scale uncertainty quantification model encompassing minimum-size unit cells for effective properties of plain woven composites,2025,Composite,73458,46,24,14,435,0.93,False,801\深度拆解_校验版_20260527\papers\004-A-multi-scale-uncertainty-quantification-model-encompassing-m_2025_Composite.md
005-A-multidisciplinary-design-optimization-method-for-cross-_2026_Aerospace-Sci,A multidisciplinary design optimization method for cross-domain vehicles based on distributed-centralized augmented Lagrangian coordination,2026,Aerospace Sci,62929,38,18,7,260,1.0,False,801\深度拆解_校验版_20260527\papers\005-A-multidisciplinary-design-optimization-method-for-cross-_2026_Aerospace-Sci.md
006-A-novel-hybrid-time-variant-reliability-analysis-metho_2024_Probabilistic-En,A novel hybrid time-variant reliability analysis method through approximating bound-most-probable point trajectory,2024,Probabilistic En,69015,47,13,11,326,1.0,False,801\深度拆解_校验版_20260527\papers\006-A-novel-hybrid-time-variant-reliability-analysis-metho_2024_Probabilistic-En.md
007-A-novel-mechanical-thermal-electrical-thermal-protection-syste_2021_Composit,007-A-novel-mechanical-thermal-electrical-thermal-protection-syste_2021_Composit,2021,Composit,58038,50,16,6,73,0.93,False,801\深度拆解_校验版_20260527\papers\007-A-novel-mechanical-thermal-electrical-thermal-protection-syste_2021_Composit.md
008-A-novel-TE-material-based-thermal-protection-structure-_2018_Aerospace-Scien,008-A-novel-TE-material-based-thermal-protection-structure-_2018_Aerospace-Scien,2018,Aerospace Scien,47862,40,16,3,185,1.0,False,801\深度拆解_校验版_20260527\papers\008-A-novel-TE-material-based-thermal-protection-structure-_2018_Aerospace-Scien.md
009-A-sequential-surrogate-method-for-reliability-analysis-base_2018_Structural,009-A-sequential-surrogate-method-for-reliability-analysis-base_2018_Structural,2018,Structural,37071,54,14,15,118,1.0,False,801\深度拆解_校验版_20260527\papers\009-A-sequential-surrogate-method-for-reliability-analysis-base_2018_Structural.md
010-A-solar-radiant-heating-apparatus-for-measuring-the-thermal_2016_Applied-The,010-A-solar-radiant-heating-apparatus-for-measuring-the-thermal_2016_Applied-The,2016,Applied The,25244,31,11,0,27,1.0,False,801\深度拆解_校验版_20260527\papers\010-A-solar-radiant-heating-apparatus-for-measuring-the-thermal_2016_Applied-The.md
011-A-sparse-reconstruction-method-of-physical-field-via_2025_Aerospace-Science,A sparse reconstruction method of physical field via multi-source sensors for flight vehicle,2025,Aerospace Science,42099,47,22,5,134,1.0,False,801\深度拆解_校验版_20260527\papers\011-A-sparse-reconstruction-method-of-physical-field-via_2025_Aerospace-Science.md
